Place ID,Tên quán,Vĩ độ,Kinh độ,Điểm đánh giá,Số lượng đánh giá,Đường/Thôn,Thành phố,Tỉnh/Trạng thái,Mã quốc gia,Website,Số điện thoại,Danh mục chính,Google Maps URL,Là quán ăn/uống
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,20.9949801,105.4891995,3.8,286,"XFVQ+XMW, Thôn, Miễu",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 378 981 062,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20N%C3%BAi&query_place_id=ChIJsZo9-IdcNDERY0zjQpEdhc0,1
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,20.9952912,105.5231476,4.3,247,Số 102 thôn 2,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 985 292 186,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Nguy%E1%BB%85n%20Gia&query_place_id=ChIJqUUTkzpbNDERi8K_NaI6aEo,1
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,21.0007315,105.5374401,4.2,242,"2G2P+7XW, KCNC",Hà Nội,"Hòa Lạc, Hà Nội",VN,http://twitterbeanscoffee.com/,+84 24 3205 6262,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Twitter%20Beans%20Coffee%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJ9TsbIK5bNDER3O46ZCuzk_E,1
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,21.0023494,105.5203577,4.0,226,QL21A,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 985 130 972,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20H%C6%B0ng%20Th%E1%BB%8Bnh&query_place_id=ChIJKaEczJlbNDERVmOGRAXzVEQ,1
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,20.9909661,105.518909,4.1,199,276 Cụm 1,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/huongvietquanhoalac,+84 944 665 588,Nhà hàng,https://www.google.com/maps/search/?api=1&query=H%C6%B0%C6%A1ng%20Vi%E1%BB%87t%20Qu%C3%A1n%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJpYedXFtbNDER2zyVw2UmvdU,1
ChIJ7UamdEZbNDERfmhGoEguBZ4,Mixue Tân Xã,21.0226039,105.5501403,3.9,184,"Đầu, ĐT419",Hà Nội,"Hạ Bằng, Hà Nội",VN,https://www.facebook.com/mixuetanxa2022/,+84 931 311 296,Cửa hàng kem,https://www.google.com/maps/search/?api=1&query=Mixue%20T%C3%A2n%20X%C3%A3&query_place_id=ChIJ7UamdEZbNDERfmhGoEguBZ4,1
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,20.9838198,105.5263565,4.1,175,Số 48 Thôn 2,Hà Nội,"Yên Xuân, Hà Nội",VN,http://minhhongart.com/,+84 904 150 161,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Cafe%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJY-Qe7gxbNDERYsbo4AU5ZwY,1
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,20.9843603,105.526113,4.8,167,QL21,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 866 889 199,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Bay%20Cafe%20%26%20Restaurant%20D%C3%AA%20N%C3%BAi-%20C%C6%A1m%20Ni%C3%AAu&query_place_id=ChIJrYN5DQBbNDERsY8cb9cKSJs,1
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,20.996107,105.5230812,4.6,164,"21, Khu Công Nghệ Cao Hòa Lạc, Ngã tư, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phomanhcuong.com/,+84 989 500 556,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20M%E1%BA%A1nh%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJfb98R7VbNDERRaXmEAYSbdM,1
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,20.9892859,105.5031845,3.9,156,"Qua 200m đối diện đường vào thôn, Trại Mới",Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 982 174 512,Nhà hàng cơm,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%C3%A0%20Th%E1%BB%A7y%20C%C6%A1m%20Xe%20T%E1%BA%A3i&query_place_id=ChIJj13NpapbNDER4-6jOFaKPzA,1
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,21.0126916,105.519082,4.9,154,67 QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://order.chickspot22.com/,+84 362 698 586,Nhà hàng Việt Nam,https://www.google.com/maps/search/?api=1&query=ChickSpot%2022&query_place_id=ChIJq8yDd5NbNDERh26BP8ERiOs,1
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,21.0191263,105.5493468,4.5,148,59 đường vành đai Công Nghệ Cao,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 856 574 444,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Hanashi&query_place_id=ChIJgVpkxQdRNDERNOcrIj2xxqw,1
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,20.9739955,105.509242,4.2,147,Đồng Chằm,Hà Nội,"Quốc Oai, Hà Nội",VN,,+84 912 308 968,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Cafe%20X%C6%B0a&query_place_id=ChIJleqIeHdbNDERt0kgA7Rr4-4,1
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,20.991018,105.5213884,4.0,140,Số 234 Cụm 1,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 964 933 999,Quán bar karaoke,https://www.google.com/maps/search/?api=1&query=Karaoke%20Hoa%20H%E1%BB%93ng%20Massage&query_place_id=ChIJqQf_CgpbNDERFhQFQiFQxro,1
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,20.9720576,105.4966373,4.3,138,XFCW+RMC,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 973 446 288,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Tr%C3%A2u%20T%C3%A1m%20H%C6%B0%C6%A1ng&query_place_id=ChIJQSH98H5dNDERImRr5FyLhXo,1
ChIJ1_fw2f1dNDERZbnL2Tv-g-U,Nhà Hàng Mít,21.001928,105.4789159,4.1,133,2F3H+3R3,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 966 824 761,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20M%C3%ADt&query_place_id=ChIJ1_fw2f1dNDERZbnL2Tv-g-U,1
ChIJnXn0ddZbNDERzUuRUdXk5Xc,Tê Tê Chicken,21.0098102,105.5186572,4.0,131,,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/profile.php?id=61557834340814,+84 838 633 399,Quán gà rán mang đi,https://www.google.com/maps/search/?api=1&query=T%C3%AA%20T%C3%AA%20Chicken&query_place_id=ChIJnXn0ddZbNDERzUuRUdXk5Xc,1
ChIJg_OFbQBbNDERnimNYFnBxKk,Yihetang Hoà Lạc,21.0218995,105.5504031,4.7,130,"229 Mục Uyên, 1 Hạ Bằng",Hà Nội,"Hạ Bằng, Hà Nội",VN,https://www.facebook.com/share/17FMk61SjV/?mibextid=wwXIfr,+84 989 082 788,Trà trân châu,https://www.google.com/maps/search/?api=1&query=Yihetang%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJg_OFbQBbNDERnimNYFnBxKk,1
ChIJKZYG_kBbNDERapsG7905qKg,1988 BBQ,21.0173838,105.5196691,4.0,127,Số 342,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 329 656 565,Nhà hàng,https://www.google.com/maps/search/?api=1&query=1988%20BBQ&query_place_id=ChIJKZYG_kBbNDERapsG7905qKg,1
ChIJ-UsoJwBbNDERk-mzYh2_GEE,CƠM SẠCH 17,21.0040296,105.5196142,4.9,126,2G39+HVC,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 822 783 123,Nhà hàng,https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20S%E1%BA%A0CH%2017&query_place_id=ChIJ-UsoJwBbNDERk-mzYh2_GEE,1
ChIJI8k5qGJcNDER1C-7pW0-bgA,Nhà Hàng Mường Nhé,20.995111,105.4882077,3.5,120,,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 904 877 977,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20M%C6%B0%E1%BB%9Dng%20Nh%C3%A9&query_place_id=ChIJI8k5qGJcNDER1C-7pW0-bgA,1
ChIJ51wf8adbNDERPUTpGxvPvt4,Nhà Hàng Gà Thành Trung,20.9979039,105.5225144,4.1,119,Số 10 Cụm 1,Hà Nội,"Thạch Thất, Hà Nội",VN,https://garithanhtrung.com/,+84 974 255 619,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Th%C3%A0nh%20Trung&query_place_id=ChIJ51wf8adbNDERPUTpGxvPvt4,1
ChIJ2eMGmA9aNDERWMo-kIk9FxI,Tuấn Hường Restaurant Lẩu Cua Đồng,21.0193315,105.5849081,4.0,117,2H9M+PXM,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 962 868 988,Nhà hàng món lẩu,https://www.google.com/maps/search/?api=1&query=Tu%E1%BA%A5n%20H%C6%B0%E1%BB%9Dng%20Restaurant%20L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng&query_place_id=ChIJ2eMGmA9aNDERWMo-kIk9FxI,1
ChIJv3IixJJbNDERZvijf46LUfs,Lẩu Cua Đồng Hoà Lạc 36,20.979115,105.5289229,4.1,116,"XGHH+JHV, QL21A",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 966 698 936,Nhà hàng món lẩu,https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng%20Ho%C3%A0%20L%E1%BA%A1c%2036&query_place_id=ChIJv3IixJJbNDERZvijf46LUfs,1
ChIJ6f6N3XhbNDERQgnadWt3m7k,Get&Go Cafe,21.0018632,105.5211946,4.7,115,QL21B,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://getngo.vn/,+84 981 469 889,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Get%26Go%20Cafe&query_place_id=ChIJ6f6N3XhbNDERQgnadWt3m7k,1
ChIJW4E-xCdbNDER9ybwhxqF1Cg,The Coffee 68,21.0228396,105.5202922,4.1,115,Số 176 QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 988 434 471,Quán cà phê,https://www.google.com/maps/search/?api=1&query=The%20Coffee%2068&query_place_id=ChIJW4E-xCdbNDER9ybwhxqF1Cg,1
ChIJSRUyoPBbNDERZ0cyVVHmDsE,Bún Bò Huế Ngô Thúy,21.0155064,105.5192278,4.4,113,4 Đ. Hòa Lạc,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 978 339 559,Quán mì,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20Ng%C3%B4%20Th%C3%BAy&query_place_id=ChIJSRUyoPBbNDERZ0cyVVHmDsE,1
ChIJp_3CFfpbNDERyvG1es3SL5Q,Bún Bò Huế Thái Anh 688,21.005818,105.518907,4.3,111,2G49+8HF,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 346 636 000,Quán mì,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20Th%C3%A1i%20Anh%20688&query_place_id=ChIJp_3CFfpbNDERyvG1es3SL5Q,1
ChIJqWASayRRNDERbwzYXdfrsfE,Nếp - Trà Và Cà Phê Pha Máy,21.0194245,105.5494236,4.8,111,53 Đường Vành Đai Công Nghệ,Hà Nội,"Hạ Bằng, Hà Nội",VN,http://nepvanhoa.vn/,+84 822 446 936,Quán cà phê,https://www.google.com/maps/search/?api=1&query=N%E1%BA%BFp%20-%20Tr%C3%A0%20V%C3%A0%20C%C3%A0%20Ph%C3%AA%20Pha%20M%C3%A1y&query_place_id=ChIJqWASayRRNDERbwzYXdfrsfE,1
ChIJaQCONZFbNDERzLchgfrwEHQ,Hoà Lạc Viên,21.0088688,105.5175422,4.0,109,"2G59+G2V, Quốc lộ 21",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 24 3368 7396,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Ho%C3%A0%20L%E1%BA%A1c%20Vi%C3%AAn&query_place_id=ChIJaQCONZFbNDERzLchgfrwEHQ,1
ChIJibp3tPRbNDERwYXYHMhlLrg,Nhà khách Đại học Quốc gia Hà Nội,20.9960068,105.5140911,4.1,107,"XGW7+CJ4, Tuyến Đ. Số 11",Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Nhà khách,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20kh%C3%A1ch%20%C4%90%E1%BA%A1i%20h%E1%BB%8Dc%20Qu%E1%BB%91c%20gia%20H%C3%A0%20N%E1%BB%99i&query_place_id=ChIJibp3tPRbNDERwYXYHMhlLrg,0
ChIJlemwCLpbNDER_akNoTeV1t0,Phở Vũ Gia Truyền,20.9936539,105.5232127,3.5,106,,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phovugiatruyen.com/,+84 767 215 789,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20V%C5%A9%20Gia%20Truy%E1%BB%81n&query_place_id=ChIJlemwCLpbNDER_akNoTeV1t0,1
ChIJ45cwWgBbNDERRZWaGajQ1ps,Chốn Xin Chào Cafe,20.9956381,105.522022,5.0,103,664 Đường Thôn 2,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/profile.php?id=100084720642611,+84 326 236 346,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%91n%20Xin%20Ch%C3%A0o%20Cafe&query_place_id=ChIJ45cwWgBbNDERRZWaGajQ1ps,1
ChIJbXvJ3_hbNDERkTfN17KHvAs,Nhà Hàng Gà Hà Đạo,21.035585,105.5136338,4.2,99,Đồng Trạng,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 329 909 391,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20H%C3%A0%20%C4%90%E1%BA%A1o&query_place_id=ChIJbXvJ3_hbNDERkTfN17KHvAs,1
ChIJjeK6NbVbNDERr78CS12xC-g,Cơm Niêu Phú Ông,20.9993563,105.5219907,3.9,99,"Khu Công Nghệ Cao Hòa Lạc, Số 572 - QL21",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 983 426 633,Nhà hàng cơm,https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Ni%C3%AAu%20Ph%C3%BA%20%C3%94ng&query_place_id=ChIJjeK6NbVbNDERr78CS12xC-g,1
ChIJY4hb3GBaNDEREhBPxrcp4lM,Trúc Linh Quán Cua Đồng,20.9906125,105.5733281,4.2,98,XHRF+68W,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 987 755 699,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Tr%C3%BAc%20Linh%20Qu%C3%A1n%20Cua%20%C4%90%E1%BB%93ng&query_place_id=ChIJY4hb3GBaNDEREhBPxrcp4lM,1
ChIJKQ8MhhZaNDER6MnpGDF6iKE,Nhà Hàng Tuấn Tú,21.0168659,105.5740611,3.8,95,2H8F+PJV,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 966 787 666,Nhà hàng món cá,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Tu%E1%BA%A5n%20T%C3%BA&query_place_id=ChIJKQ8MhhZaNDER6MnpGDF6iKE,1
ChIJOWdAxlJbNDERP9R6PqI48MU,TheHill BBQ,20.9819092,105.5310192,4.6,93,Lô 25 Khu tái định,Hà Nội,"Phú Cát, Hà Nội",VN,https://www.facebook.com/TheHillBBQ,+84 816 188 588,Nhà hàng món nướng,https://www.google.com/maps/search/?api=1&query=TheHill%20BBQ&query_place_id=ChIJOWdAxlJbNDERP9R6PqI48MU,1
ChIJq-olQU9cNDERPoCUlg3Aa3s,Nhà Nghỉ Yên Bình 2,21.0136487,105.4638378,3.4,93,"2F77+FG4, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,,,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Ngh%E1%BB%89%20Y%C3%AAn%20B%C3%ACnh%202&query_place_id=ChIJq-olQU9cNDERPoCUlg3Aa3s,1
ChIJmR4LOGf9NDER11_bqb1OV5E,Nhà Hàng Thanh Bình Lẩu Cua Đồng Gà Ri,21.0508671,105.5029921,4.6,92,7PGQ+45,Hà Nội,"Đoài Phương, Hà Nội",VN,,+84 368 898 456,Nhà hàng món lẩu,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20B%C3%ACnh%20L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng%20G%C3%A0%20Ri&query_place_id=ChIJmR4LOGf9NDER11_bqb1OV5E,1
ChIJQTXNxOBbNDER_26jAuEmTJc,Phở Hoàn Vộc,20.9942947,105.5233947,4.1,88,"Ngã 3, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 984 297 886,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Ho%C3%A0n%20V%E1%BB%99c&query_place_id=ChIJQTXNxOBbNDER_26jAuEmTJc,1
ChIJiTDv0slbNDERshz2T81XdFs,Nhà Chung cafe,21.0191434,105.5524231,4.8,85,Ngã 4 Mục Uyên,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 867 789 198,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Chung%20cafe&query_place_id=ChIJiTDv0slbNDERshz2T81XdFs,1
ChIJbTzvh1BbNDERsRh8dzH49P0,Bún Bò Huế Ngự Bình,20.9990271,105.5227494,4.4,85,XGXF+J39,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 359 763 599,Quán mì,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20Ng%E1%BB%B1%20B%C3%ACnh&query_place_id=ChIJbTzvh1BbNDERsRh8dzH49P0,1
ChIJrxGnrV9bNDERDU4f5yb20dI,Sữa 559,20.9895698,105.5379764,3.9,85,"Khu Công Nghệ Cao Hòa Lạc, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 924 229 999,Quán cà phê,https://www.google.com/maps/search/?api=1&query=S%E1%BB%AFa%20559&query_place_id=ChIJrxGnrV9bNDERDU4f5yb20dI,1
ChIJsbtj40pZNDERS--N3C51zCI,Ohio BBQ & Hotpot,21.0230264,105.5502255,4.3,81,88 ĐT419,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 923 290 111,Nhà hàng tiệc đứng,https://www.google.com/maps/search/?api=1&query=Ohio%20BBQ%20%26%20Hotpot&query_place_id=ChIJsbtj40pZNDERS--N3C51zCI,1
ChIJBy-9KZxbNDERLSJdMfS-wC8,Fuca Hidden Coffee,21.0019209,105.5197134,4.8,80,,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 886 363 737,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Fuca%20Hidden%20Coffee&query_place_id=ChIJBy-9KZxbNDERLSJdMfS-wC8,1
ChIJO6NAf3dbNDERTHl3dEBzAmo,Nhà Hàng Lâm Sơn Trang,20.9900009,105.4988874,3.8,78,,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 985 243 668,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20L%C3%A2m%20S%C6%A1n%20Trang&query_place_id=ChIJO6NAf3dbNDERTHl3dEBzAmo,1
ChIJk5Kqa_RbNDERuXPQu4wdXGw,Chihiro - Drink & Food,21.0195513,105.5515197,4.3,76,,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 971 958 185,Nhà hàng Hàn Quốc,https://www.google.com/maps/search/?api=1&query=Chihiro%20-%20Drink%20%26%20Food&query_place_id=ChIJk5Kqa_RbNDERuXPQu4wdXGw,1
ChIJxcb3FwBbNDERIwu54fwyCFk,Mây Lang Thang Cafe,21.0008138,105.520821,4.5,74,ngõ 2 đường TTGDQP,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 984 916 161,Quán cà phê,https://www.google.com/maps/search/?api=1&query=M%C3%A2y%20Lang%20Thang%20Cafe&query_place_id=ChIJxcb3FwBbNDERIwu54fwyCFk,1
ChIJ5xkVxPFbNDERSXhXMftf7PY,Bún Chả Năm Hoài,21.021874,105.5207212,4.3,72,Số 221 thôn 4,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 969 828 386,Quán mì,https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20N%C4%83m%20Ho%C3%A0i&query_place_id=ChIJ5xkVxPFbNDERSXhXMftf7PY,1
ChIJ45tN5QxbNDERKK0_gbG-CfA,Tuyết Trọng Restaurant,20.9831642,105.5262401,3.4,69,"XGMG+7F9, QL21A",Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 971 442 221,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Tuy%E1%BA%BFt%20Tr%E1%BB%8Dng%20Restaurant&query_place_id=ChIJ45tN5QxbNDERKK0_gbG-CfA,1
ChIJT3KQYfxbNDER0LOmPOknGag,Mixue Phú Cát,20.9841042,105.528119,3.4,69,,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 982 349 276,Cửa hàng kem,https://www.google.com/maps/search/?api=1&query=Mixue%20Ph%C3%BA%20C%C3%A1t&query_place_id=ChIJT3KQYfxbNDER0LOmPOknGag,1
