Place ID,Tên quán,Vĩ độ,Kinh độ,Điểm đánh giá,Số lượng đánh giá,Đường/Thôn,Thành phố,Tỉnh/Trạng thái,Mã quốc gia,Website,Số điện thoại,Danh mục chính,Google Maps URL,Là quán ăn/uống,Menu chi tiết
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,20.9949801,105.4891995,3.8,286,"XFVQ+XMW, Thôn, Miễu",Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 378 981 062,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20N%C3%BAi&query_place_id=ChIJsZo9-IdcNDERY0zjQpEdhc0,Có,"Phở chín bò ta: 40,000đ/bát (Nước dùng phở bò ninh xương ống ngọt lịm kèm thịt chín thái mỏng) | Phở tái chần: 33,000đ/bát (Phở bò với thịt bò tươi chần tái mềm ngọt) | Phở nạm gầu giòn: 38,000đ/bát (Bánh phở mềm cùng nạm bò và gầu bò giòn sần sật) | Phở tái lăn đặc biệt: 45,000đ/bát (Phở bò xào tái lăn thơm mùi tỏi phi) | Trứng gà trần: 10,000đ/quả (Trứng trần nước phở béo ngậy) | Quẩy giòn: 2,000đ/chiếc (Quẩy giòn ăn kèm nước phở)"
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,20.9952912,105.5231476,4.3,247,Số 102 thôn 2,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 985 292 186,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Nguy%E1%BB%85n%20Gia&query_place_id=ChIJqUUTkzpbNDERi8K_NaI6aEo,Có,"Cá kho tộ miền Tây đậm vị: 85,000đ/tộ (Cá trắm đen kho tộ sánh quyện nước hàng dừa) | Thịt ba chỉ rang cháy cạnh: 70,000đ/đĩa (Thịt ba chỉ ba chỉ giòn rưới mỡ hành) | Sườn non xào chua ngọt: 78,000đ/đĩa (Sườn non xào cùng dứa và ớt chuông sốt chua cay) | Rau muống luộc dầm sấu / xào tỏi: 30,000đ/đĩa (Rau muống tươi xanh luộc chấm nước mắm chanh ớt) | Canh riêu cua đồng cà pháo: 47,000đ/bát (Canh cua đồng mát lạnh ăn kèm cà pháo giòn tan) | Cơm trắng gạo tám thơm: 15,000đ/niêu (Niêu cơm gạo tám dẻo thơm)"
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,21.0007315,105.5374401,4.2,242,"2G2P+7XW, KCNC",Hà Nội,"Hòa Lạc, Hà Nội",VN,http://twitterbeanscoffee.com/,+84 24 3205 6262,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Twitter%20Beans%20Coffee%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJ9TsbIK5bNDER3O46ZCuzk_E,Có,"Cà phê đen đá pha phin: 22,000đ/ly (Cà phê đen truyền thống đậm đà) | Cà phê sữa đá: 22,000đ/ly (Cà phê sữa pha phin béo ngậy) | Bạc xỉu cốt dừa: 30,000đ/ly (Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê) | Trà đào cam sả: 35,000đ/ly (Trà đào thơm mát kết hợp lát đào cam tươi sả thơm) | Trà sữa trân châu truyền thống: 37,000đ/ly (Trà sữa đậm trà kèm trân châu đen dai giòn) | Sinh tố bơ sáp: 30,000đ/ly (Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo) | Nước ép cam nguyên chất: 30,000đ/ly (Ép cam sành tự nhiên nhiều vitamin C)"
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,21.0023494,105.5203577,4.0,226,QL21A,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 985 130 972,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20H%C6%B0ng%20Th%E1%BB%8Bnh&query_place_id=ChIJKaEczJlbNDERVmOGRAXzVEQ,Có,"Gà ri hấp lá chanh (Cả con): 210,000đ/con (Gà ri đồi nuôi thả tự nhiên dai ngọt da vàng giòn) | Gà ri nướng mật ong (Cả con): 240,000đ/con (Gà ri nướng mật ong thơm phức vàng óng) | Gà rang muối tỏi: 140,000đ/đĩa (Gà ta chặt miếng rang muối đậm đà sần sật) | Lẩu gà ri thuốc bắc: 340,000đ/nồi (Nồi lẩu gà ri thuốc bắc bổ dưỡng kèm rau nấm) | Xôi chim câu hành phi: 78,000đ/đĩa (Xôi nếp dẻo thơm ăn kèm thịt chim câu băm nhỏ) | Lòng mề gà xào mướp giá: 68,000đ/đĩa (Lòng mề gà ri giòn xào mướp hương thơm phức)"
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,20.9909661,105.518909,4.1,199,276 Cụm 1,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.facebook.com/huongvietquanhoalac,+84 944 665 588,Nhà hàng,https://www.google.com/maps/search/?api=1&query=H%C6%B0%C6%A1ng%20Vi%E1%BB%87t%20Qu%C3%A1n%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJpYedXFtbNDER2zyVw2UmvdU,Có,"Cá kho tộ miền Tây đậm vị: 83,000đ/tộ (Cá trắm đen kho tộ sánh quyện nước hàng dừa) | Thịt ba chỉ rang cháy cạnh: 77,000đ/đĩa (Thịt ba chỉ ba chỉ giòn rưới mỡ hành) | Sườn non xào chua ngọt: 75,000đ/đĩa (Sườn non xào cùng dứa và ớt chuông sốt chua cay) | Rau muống luộc dầm sấu / xào tỏi: 27,000đ/đĩa (Rau muống tươi xanh luộc chấm nước mắm chanh ớt) | Canh riêu cua đồng cà pháo: 50,000đ/bát (Canh cua đồng mát lạnh ăn kèm cà pháo giòn tan) | Cơm trắng gạo tám thơm: 15,000đ/niêu (Niêu cơm gạo tám dẻo thơm)"
ChIJ7UamdEZbNDERfmhGoEguBZ4,Mixue Tân Xã,21.0226039,105.5501403,3.9,184,"Đầu, ĐT419",Hà Nội,"Hạ Bằng, Hà Nội",VN,https://www.facebook.com/mixuetanxa2022/,+84 931 311 296,Cửa hàng kem,https://www.google.com/maps/search/?api=1&query=Mixue%20T%C3%A2n%20X%C3%A3&query_place_id=ChIJ7UamdEZbNDERfmhGoEguBZ4,Có,"Kem tươi ốc quế sữa dừa / vani Mixue: 10,000đ/chiếc (Kem tươi thơm ngon ngậy béo ốc quế giòn tan) | Trà sữa ba anh em thạch pudding trân châu: 27,000đ/ly (Trà sữa đậm vị kèm full topping dồi dào) | Dương chi cam lộ xoài bưởi trân châu: 37,000đ/ly (Sinh tố xoài, bưởi hồng cùng thạch dừa thạch đào thơm ngon mát lạnh) | Trà đào tứ kỳ xuân hạt đào miếng: 28,000đ/ly (Trà ô long thanh vị kết hợp thạch đào giòn ngọt)"
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,20.9838198,105.5263565,4.1,175,Số 48 Thôn 2,Hà Nội,"Yên Xuân, Hà Nội",VN,http://minhhongart.com/,+84 904 150 161,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Cafe%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Có,"Cà phê đen đá pha phin: 22,000đ/ly (Cà phê đen truyền thống đậm đà) | Cà phê sữa đá: 28,000đ/ly (Cà phê sữa pha phin béo ngậy) | Bạc xỉu cốt dừa: 27,000đ/ly (Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê) | Trà đào cam sả: 37,000đ/ly (Trà đào thơm mát kết hợp lát đào cam tươi sả thơm) | Trà sữa trân châu truyền thống: 37,000đ/ly (Trà sữa đậm trà kèm trân châu đen dai giòn) | Sinh tố bơ sáp: 35,000đ/ly (Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo) | Nước ép cam nguyên chất: 27,000đ/ly (Ép cam sành tự nhiên nhiều vitamin C)"
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,20.9843603,105.526113,4.8,167,QL21,Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 866 889 199,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Bay%20Cafe%20%26%20Restaurant%20D%C3%AA%20N%C3%BAi-%20C%C6%A1m%20Ni%C3%AAu&query_place_id=ChIJrYN5DQBbNDERsY8cb9cKSJs,Có,"Thịt trâu xào lá lốt: 140,000đ/đĩa (Thịt trâu tươi mềm ngọt xào lá lốt thơm lừng) | Thịt trâu nhúng mẻ chua cay: 170,000đ/đĩa (Thịt trâu nhúng nước dùng mẻ chua thanh nhẹ) | Dê tái chanh chấm tương gừng: 160,000đ/đĩa (Thịt dê núi hấp tái trộn vừng sả lá chanh) | Dê né bản gang: 170,000đ/đĩa (Dê xào nóng hổi trên bản gang kèm đậu bắp) | Lẩu dê núi nhúng mẻ: 419,000đ/nồi (Nồi lẩu dê núi ré thơm ngon kèm rau nhúng đặc sản) | Cơm cháy sốt dê: 70,000đ/đĩa (Cơm cháy giòn tan rưới nước sốt dê đậm vị)"
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,20.996107,105.5230812,4.6,164,"21, Khu Công Nghệ Cao Hòa Lạc, Ngã tư, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phomanhcuong.com/,+84 989 500 556,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20M%E1%BA%A1nh%20C%C6%B0%E1%BB%9Dng&query_place_id=ChIJfb98R7VbNDERRaXmEAYSbdM,Có,"Phở chín bò ta: 37,000đ/bát (Nước dùng phở bò ninh xương ống ngọt lịm kèm thịt chín thái mỏng) | Phở tái chần: 37,000đ/bát (Phở bò với thịt bò tươi chần tái mềm ngọt) | Phở nạm gầu giòn: 38,000đ/bát (Bánh phở mềm cùng nạm bò và gầu bò giòn sần sật) | Phở tái lăn đặc biệt: 47,000đ/bát (Phở bò xào tái lăn thơm mùi tỏi phi) | Trứng gà trần: 7,000đ/quả (Trứng trần nước phở béo ngậy) | Quẩy giòn: 8,000đ/chiếc (Quẩy giòn ăn kèm nước phở)"
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,20.9892859,105.5031845,3.9,156,"Qua 200m đối diện đường vào thôn, Trại Mới",Hà Nội,"Yên Xuân, Hà Nội",VN,,+84 982 174 512,Nhà hàng cơm,https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20B%C3%A0%20Th%E1%BB%A7y%20C%C6%A1m%20Xe%20T%E1%BA%A3i&query_place_id=ChIJj13NpapbNDER4-6jOFaKPzA,Có,"Cơm rang dưa bò: 47,000đ/đĩa (Cơm rang hạt giòn tơi xào cùng cải dưa chua và thịt bò tươi mềm) | Cơm rang thập cẩm giòn: 33,000đ/đĩa (Cơm rang lạp xưởng ngô ngọt đậu hà lan rưới trứng vàng) | Cơm thố xá xíu nóng hổi: 45,000đ/thố (Cơm nấu niêu thố đất tạo lớp cháy giòn nhẹ, phủ thịt xá xíu đậm sốt) | Suất cơm bình dân tự chọn (3 món mặn + rau): 27,000đ/suất (Cơm suất bình dân đầy đặn sạch sẽ cho sinh viên và người đi làm) | Cơm tấm sườn bì chả Sài Gòn: 38,000đ/đĩa (Cơm tấm ăn kèm sườn nướng mặn ngọt chả trứng bì heo thính và nước mắm chua cay)"
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,21.0126916,105.519082,4.9,154,67 QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://order.chickspot22.com/,+84 362 698 586,Nhà hàng Việt Nam,https://www.google.com/maps/search/?api=1&query=ChickSpot%2022&query_place_id=ChIJq8yDd5NbNDERh26BP8ERiOs,Có,"Cá kho tộ miền Tây đậm vị: 80,000đ/tộ (Cá trắm đen kho tộ sánh quyện nước hàng dừa) | Thịt ba chỉ rang cháy cạnh: 80,000đ/đĩa (Thịt ba chỉ ba chỉ giòn rưới mỡ hành) | Sườn non xào chua ngọt: 82,000đ/đĩa (Sườn non xào cùng dứa và ớt chuông sốt chua cay) | Rau muống luộc dầm sấu / xào tỏi: 33,000đ/đĩa (Rau muống tươi xanh luộc chấm nước mắm chanh ớt) | Canh riêu cua đồng cà pháo: 43,000đ/bát (Canh cua đồng mát lạnh ăn kèm cà pháo giòn tan) | Cơm trắng gạo tám thơm: 12,000đ/niêu (Niêu cơm gạo tám dẻo thơm)"
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,21.0191263,105.5493468,4.5,148,59 đường vành đai Công Nghệ Cao,Hà Nội,"Hạ Bằng, Hà Nội",VN,,+84 856 574 444,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Hanashi&query_place_id=ChIJgVpkxQdRNDERNOcrIj2xxqw,Có,"Cà phê đen đá pha phin: 19,000đ/ly (Cà phê đen truyền thống đậm đà) | Cà phê sữa đá: 28,000đ/ly (Cà phê sữa pha phin béo ngậy) | Bạc xỉu cốt dừa: 27,000đ/ly (Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê) | Trà đào cam sả: 37,000đ/ly (Trà đào thơm mát kết hợp lát đào cam tươi sả thơm) | Trà sữa trân châu truyền thống: 30,000đ/ly (Trà sữa đậm trà kèm trân châu đen dai giòn) | Sinh tố bơ sáp: 35,000đ/ly (Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo) | Nước ép cam nguyên chất: 30,000đ/ly (Ép cam sành tự nhiên nhiều vitamin C)"
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,20.9739955,105.509242,4.2,147,Đồng Chằm,Hà Nội,"Quốc Oai, Hà Nội",VN,,+84 912 308 968,Quán cà phê,https://www.google.com/maps/search/?api=1&query=Cafe%20X%C6%B0a&query_place_id=ChIJleqIeHdbNDERt0kgA7Rr4-4,Có,"Cà phê đen đá pha phin: 19,000đ/ly (Cà phê đen truyền thống đậm đà) | Cà phê sữa đá: 22,000đ/ly (Cà phê sữa pha phin béo ngậy) | Bạc xỉu cốt dừa: 33,000đ/ly (Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê) | Trà đào cam sả: 35,000đ/ly (Trà đào thơm mát kết hợp lát đào cam tươi sả thơm) | Trà sữa trân châu truyền thống: 30,000đ/ly (Trà sữa đậm trà kèm trân châu đen dai giòn) | Sinh tố bơ sáp: 40,000đ/ly (Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo) | Nước ép cam nguyên chất: 30,000đ/ly (Ép cam sành tự nhiên nhiều vitamin C)"
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,20.991018,105.5213884,4.0,140,Số 234 Cụm 1,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 964 933 999,Quán bar karaoke,https://www.google.com/maps/search/?api=1&query=Karaoke%20Hoa%20H%E1%BB%93ng%20Massage&query_place_id=ChIJqQf_CgpbNDERFhQFQiFQxro,Có,"Đĩa hoa quả thập cẩm lớn (Dưa hấu, ổi, xoài, nho): 140,000đ/đĩa (Hoa quả tươi ngon cắt lát đẹp mắt) | Khô mực nướng cồn: 160,000đ/con (Mực khô Vân Đồn nướng cồn xé tay) | Thịt bò khô xé sợi vắt chanh: 80,000đ/đĩa (Bò khô sợi cay cay ngọt ngọt) | Khoai tây chiên lắc phô mai: 45,000đ/đĩa (Khoai tây chiên giòn tan phủ bột phô mai) | Hạt hướng dương sạch: 20,000đ/đĩa (Hạt hướng dương rang thơm) | Bia Heineken lon: 28,000đ/lon (Bia ngoại ướp lạnh sẵn) | Bia Hà Nội lon: 18,000đ/lon (Bia nội truyền thống) | Nước ngọt Coca-Cola / Sting: 18,000đ/lon (Nước ngọt các loại phục vụ lạnh)"
