"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","url","categoryName"
"Phở Bắc Nam","5","2","2HV3+P7H, ĐT419","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 976 993 710","Nhà hàng phở",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20B%E1%BA%AFc%20Nam&query_place_id=ChIJwRCf2nRZNDER4poajyhAaYk","Nhà hàng phở"
"Morri Coffee","4.4","14","291 Đường 84","Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 965 748 671","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Morri%20Coffee&query_place_id=ChIJn_mnEtBZNDER5lQc7xFVbu4","Quán cà phê"
"Pizza fat'","4.2","46","127 ĐT420","Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 393 692 286","Nhà hàng pizza",,,,,,"https://www.google.com/maps/search/?api=1&query=Pizza%20fat'&query_place_id=ChIJx5qc3GRZNDERbmdOG23SBD0","Nhà hàng pizza"
"36 Đường 84 Kim Quan",,,"84 Đ. Kim Quan","Hà Nội","Thạch Thất, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=36%20%C4%90%C6%B0%E1%BB%9Dng%2084%20Kim%20Quan&query_place_id=ChIJk7NxUgBZNDER5wZuQmnSuq4","Nhà hàng"
"Xôi Bánh Mỳ cô Hà","5","1","117 ĐT420","Hà Nội","Thạch Thất, Hà Nội","VN",,"","Nhà hàng ăn nhanh",,,,,,"https://www.google.com/maps/search/?api=1&query=X%C3%B4i%20B%C3%A1nh%20M%E1%BB%B3%20c%C3%B4%20H%C3%A0&query_place_id=ChIJe7ZrSABZNDERAwTmkLYvwX4","Nhà hàng ăn nhanh"
"Nhà Hàng Ba Văn","4","8",,"Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 973 430 585","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ba%20V%C4%83n&query_place_id=ChIJpdhO_Z9ZNDERiN4dM-9S01E","Nhà hàng"
"Venus 88 Coffee","4.1","27","2HV3+WG7 Đối Diện Cổng Làng Yên Mỹ, ĐT420","Hà Nội","Hạ Bằng, Hà Nội","VN","https://www.facebook.com/venus88coffee","+84 966 607 648","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Venus%2088%20Coffee&query_place_id=ChIJtwiW-99ZNDER4s68GCSjoT0","Quán cà phê"
"Tiệm Trà Lyna & PhotoBooth","5","6","19 ĐT420","Hà Nội","Thạch Thất, Hà Nội","VN","https://www.facebook.com/share/1A7s9JHbbW/?mibextid=wwXIfr","+84 395 919 403","Quán cà phê","Buồng chụp ảnh",,,,,"https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20Tr%C3%A0%20Lyna%20%26%20PhotoBooth&query_place_id=ChIJqxlmKACrNTER6PW2YGK5sHg","Quán cà phê"
"Hùng Già Quán",,,"2HV2+7R2","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 923 550 777","Quán ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=H%C3%B9ng%20Gi%C3%A0%20Qu%C3%A1n&query_place_id=ChIJzyY8IAC3NTERQIPeZSDmiMQ","Quán ăn nhỏ"
"Phở Vịt, Vịt Quay Lạng Sơn",,,"358 ĐT420","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 979 718 855","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20V%E1%BB%8Bt%2C%20V%E1%BB%8Bt%20Quay%20L%E1%BA%A1ng%20S%C6%A1n&query_place_id=ChIJ5fOsDQBZNDERZvhk-zo1CpY","Nhà hàng"
"Anh Nam Kem","5","2","2HR4+738","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Cửa hàng kem",,,,,,"https://www.google.com/maps/search/?api=1&query=Anh%20Nam%20Kem&query_place_id=ChIJad7ucgBZNDERhc0q2ByjEhQ","Cửa hàng kem"
"Bún Bò Huế 999",,,"365 ĐT420","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 333 722 895","Quán ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF%20999&query_place_id=ChIJmzrGUgBZNDERcvkj3VsBYbQ","Quán ăn nhỏ"
"Văn Béo Quán",,,"2GQX+J3V, ĐT419","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=V%C4%83n%20B%C3%A9o%20Qu%C3%A1n&query_place_id=ChIJ2asEOwBZNDER7729MzRnlfs","Nhà hàng"
"Toco toco","2.5","6","117 ĐT420","Hà Nội","Thạch Thất, Hà Nội","VN",,"","Cửa hàng kem",,,,,,"https://www.google.com/maps/search/?api=1&query=Toco%20toco&query_place_id=ChIJBeXvFwBZNDERKoa49_EWixU","Cửa hàng kem"
"1",,,"419 hà nội","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Quán mì",,,,,,"https://www.google.com/maps/search/?api=1&query=1&query_place_id=ChIJEQnDC6lZNDERSGShDVn9V5o","Quán mì"
"Cafe Du Miên Bi a","4.7","27","cầu phú thứ","Hà Nội","Thạch Thất, Hà Nội","VN","https://m.facebook.com/profile.php?id=341556879878938","+84 962 399 689","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20Du%20Mi%C3%AAn%20Bi%20a&query_place_id=ChIJ-8SysvZZNDER2EhyAErbwKA","Quán cà phê"
"Quán Tea Tròn","5","3","Đ. Thôn 2","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 984 524 993","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20Tea%20Tr%C3%B2n&query_place_id=ChIJu3lfhL9bNDERji3mV1tQxLQ","Quán cà phê"
"Nhà Hàng Tư Lan 286","4.3","3","2GPW+HH5, ĐT419","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Quán ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20T%C6%B0%20Lan%20286&query_place_id=ChIJff037wlZNDERKIv-9199RMk","Quán ăn nhỏ"
"Nhà Hàng Hoàng Phúc","5","2","Cạnh Sân Bóng Đại Dương, Số 69 Kim Bông","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 961 679 669","Nhà hàng gia đình",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ho%C3%A0ng%20Ph%C3%BAc&query_place_id=ChIJ_aO1UdJbNDERu0Y72a0Ajak","Nhà hàng gia đình"
"Nhà Hàng Bia Thu Hà","5","4","ĐT420","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 968 708 851","Quán bia",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Bia%20Thu%20H%C3%A0&query_place_id=ChIJ1ZtGeQBbNDERnFZI7s3SQ94","Quán bia"
"Nhà hàng ngựa tây bắc","3.7","3","2GPW+6CG","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20ng%E1%BB%B1a%20t%C3%A2y%20b%E1%BA%AFc&query_place_id=ChIJKd3vaQBbNDERpK48Z9d_vCI","Nhà hàng"
"Sun Food - Ăn vặt 24h","5","26","2GFC+8H7","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Sun%20Food%20-%20%C4%82n%20v%E1%BA%B7t%2024h&query_place_id=ChIJa0CLQgBbNDERglPO9MrQl9o","Nhà hàng"
"666 BIlliards club Kim Bâu","5","1",,"Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 987 811 527","Quán bia",,,,,,"https://www.google.com/maps/search/?api=1&query=666%20BIlliards%20club%20Kim%20B%C3%A2u&query_place_id=ChIJ7-ljSYdbNDER9BVbufCjvH4","Quán bia"
"Cổ Đông Quán Trâu","4.5","33","Unnamed","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 978 461 883","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=C%E1%BB%95%20%C4%90%C3%B4ng%20Qu%C3%A1n%20Tr%C3%A2u&query_place_id=ChIJ-b8u2r1ZNDERcmSjgsuhv_Y","Nhà hàng"
"Thiên Nhiên Quán","5","10","Khu đấu giá, ĐT419","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 982 888 217","Công ty tư vấn bất động sản","Quán bia",,,,,"https://www.google.com/maps/search/?api=1&query=Thi%C3%AAn%20Nhi%C3%AAn%20Qu%C3%A1n&query_place_id=ChIJG0bOJplRNDERg7udXWM9Cuk","Công ty tư vấn bất động sản"
"Tiệm Nướng Chảo gang","4.8","5",,"Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 899 992 396","Nhà hàng","Nhà hàng món nướng",,,,,"https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20N%C6%B0%E1%BB%9Bng%20Ch%E1%BA%A3o%20gang&query_place_id=ChIJD3qAlOJbNDERRZfMRhMETwY","Nhà hàng"
"Nhà Hàng Thập Phương","4.5","15","Số 150 Đồng Trạng","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 984 945 519","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nha%CC%80%20Ha%CC%80ng%20Th%C3%A2%CC%A3p%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJaU5Mr2tZNDEROzOQJlTebQM","Nhà hàng"
"Bia Chó Xuân Dưỡng","5","1","2GHW+GF5","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 962 533 222","Nhà hàng gia đình",,,,,,"https://www.google.com/maps/search/?api=1&query=Bia%20Ch%C3%B3%20Xu%C3%A2n%20D%C6%B0%E1%BB%A1ng&query_place_id=ChIJ_XO2KABbNDERd9JXHRZW7Mo","Nhà hàng gia đình"
"Quán lòng Hạ Bằng","4.5","13","2H64+9G4, Thôn 7","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 342 640 082","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20l%C3%B2ng%20H%E1%BA%A1%20B%E1%BA%B1ng&query_place_id=ChIJSxK7JohbNDERx_tngzMUnBY","Nhà hàng"
"Ẩm Thực Đồng Quê","5","12","2H55+CFX","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 383 418 699","Nhà hàng gia đình",,,,,,"https://www.google.com/maps/search/?api=1&query=%E1%BA%A8m%20Th%E1%BB%B1c%20%C4%90%E1%BB%93ng%20Qu%C3%AA&query_place_id=ChIJ7xBwXXBbNDERceXz7JzEn-c","Nhà hàng gia đình"
"Bún phở Trang Tý","5","4","2H92+95M, Tân Xã","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 963 981 483","Nhà hàng chuyên phục vụ bữa sáng",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ph%E1%BB%9F%20Trang%20T%C3%BD&query_place_id=ChIJF6JEHwBbNDER5vp_XbkniP0","Nhà hàng chuyên phục vụ bữa sáng"
"Phở Thúy Mùi 351","4.6","16","2H82+VWG","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 388 800 400","Nhà hàng phở",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Th%C3%BAy%20M%C3%B9i%20351&query_place_id=ChIJvTreDApbNDERWhP4eze4qLk","Nhà hàng phở"
"Bún Đậu 1966","4.7","30","2H82+QXP, Unnamed","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 969 636 037","Nhà hàng đậu hũ","Nhà hàng",,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%90%E1%BA%ADu%201966&query_place_id=ChIJecNITFtbNDERjvjA_AZcYsQ","Nhà hàng đậu hũ"
"CƠM TẤM 998","4.6","10","Số 18 đường mục uyên công nghệ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 327 072 955","Nhà hàng cơm",,,,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20T%E1%BA%A4M%20998&query_place_id=ChIJZQACMwBbNDERzG27AglWSIc","Nhà hàng cơm"
"Nhà Hàng Trâu Linh Hương","5","1","2H44+94C, Xóm Bung","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng gia đình",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Tr%C3%A2u%20Linh%20H%C6%B0%C6%A1ng&query_place_id=ChIJVQQONABbNDER5zMqJhovLUc","Nhà hàng gia đình"
"Heemang Chicken Tân Xã","4.4","15","Ngã Tư Mục Uyên","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 858 211 368","Nhà hàng Hàn Quốc","Quán gà rán mang đi",,,,,"https://www.google.com/maps/search/?api=1&query=Heemang%20Chicken%20T%C3%A2n%20X%C3%A3&query_place_id=ChIJFwmFHgBbNDERDN0v2ofB0zI","Nhà hàng Hàn Quốc"
"Quán Gạo98","5","2","2H92+935","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng chuyên phục vụ bữa nửa buổi",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20G%E1%BA%A1o98&query_place_id=ChIJy_SmQABbNDERbdts-lDomeI","Nhà hàng chuyên phục vụ bữa nửa buổi"
"Lẩu chó Vinh Bính","4.4","12",,"Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 363 769 711","Nhà hàng gia đình","Cửa hàng bán đồ ăn nấu sẵn",,,,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20ch%C3%B3%20Vinh%20B%C3%ADnh&query_place_id=ChIJozWt2klaNDER-irKieKTcKo","Nhà hàng gia đình"
"Bún Đậu Đồng Mô 3","4.1","15","Cơ Sở 3","Hà Nội","Hạ Bằng, Hà Nội","VN","http://bundaudongmo.com/","+84 969 186 155","Nhà hàng Việt Nam",,,,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%90%E1%BA%ADu%20%C4%90%E1%BB%93ng%20M%C3%B4%203&query_place_id=ChIJA9QdMxpbNDER7gpk1pra184","Nhà hàng Việt Nam"
"Cơm Tấm Chính Lan 1998","4.4","9","Mặt hồ, đường vành đai công nghệ Hạ Bằng","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 368 466 998","Nhà hàng cơm","Nhà hàng",,,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20T%E1%BA%A5m%20Ch%C3%ADnh%20Lan%201998&query_place_id=ChIJl2GoEABbNDERqTn0g-WOiBE","Nhà hàng cơm"
"Phở Khô Gia Lai",,,"2H92+95M, Tân Xã","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng Việt Nam",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Kh%C3%B4%20Gia%20Lai&query_place_id=ChIJ54t8fgBbNDER8F6bIpbetlI","Nhà hàng Việt Nam"
"Bay Cafe & Restaurant Dê Núi- Cơm Niêu","4.8","167","QL21","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 866 889 199","Nhà hàng","Quán cà phê",,,,,"https://www.google.com/maps/search/?api=1&query=Bay%20Cafe%20%26%20Restaurant%20D%C3%AA%20N%C3%BAi-%20C%C6%A1m%20Ni%C3%AAu&query_place_id=ChIJrYN5DQBbNDERsY8cb9cKSJs","Nhà hàng"
"Nhà Hàng Hưng Gia","4.7","9","XGMG+Q8Q, QL21","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 904 900 385","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C6%B0ng%20Gia&query_place_id=ChIJhY2b85yrNTERmxgNmeJY9S4","Nhà hàng"
"Hương Việt Quán Hoà Lạc","4.1","199","276 Cụm 1","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/huongvietquanhoalac","+84 944 665 588","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=H%C6%B0%C6%A1ng%20Vi%E1%BB%87t%20Qu%C3%A1n%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJpYedXFtbNDER2zyVw2UmvdU","Nhà hàng"
"Nhà Hàng Hồ Câu Đỗ Hiệp","4","67","2G59+3QF, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 967 430 066","Nhà hàng món cá",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%E1%BB%93%20C%C3%A2u%20%C4%90%E1%BB%97%20Hi%E1%BB%87p&query_place_id=ChIJZ2rtVXFFNDERDanPMQAVbkk","Nhà hàng món cá"
"Nhà Hàng Thanh Dũng","3.9","31","XGXC+PRR, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 24 3368 5342","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20D%C5%A9ng&query_place_id=ChIJB9Zdm5dbNDERumxr6yV-RUM","Nhà hàng"
"Mật BBQ","5","5","327, thôn mục uyên/1 Tân Xã","Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 337 383 958","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=M%E1%BA%ADt%20BBQ&query_place_id=ChIJeZD2gdlbNDERqxLqb7WvhmE","Nhà hàng"
"Ốc Khoái","5","4",,"Hà Nội","Hạ Bằng, Hà Nội","VN","https://www.facebook.com/profile.php?id=61577625516200","+84 384 279 696","Nhà hàng gia đình",,,,,,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20Kho%C3%A1i&query_place_id=ChIJ1QbYYgBbNDER7L3uZ311xNE","Nhà hàng gia đình"
"Phê đây","4.9","16","2H82+XQC, 108 Tân Xã","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 983 021 001","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Ph%C3%AA%20%C4%91%C3%A2y&query_place_id=ChIJKUzecgBbNDERvysep4ntmio","Quán cà phê"
"Nhà Chung cafe","4.8","85","Ngã 4 Mục Uyên","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 867 789 198","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Chung%20cafe&query_place_id=ChIJiTDv0slbNDERshz2T81XdFs","Quán cà phê"
"Tiệm Nhà Thương","4.8","12","2H64+7FH","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 369 796 637","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Ti%E1%BB%87m%20Nh%C3%A0%20Th%C6%B0%C6%A1ng&query_place_id=ChIJ7fOQNvZbNDERXBREa5JXDbo","Quán cà phê"
"Canh Ơi","5","4","115 hồ Tân Xã- xã","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 975 976 361","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Canh%20%C6%A0i&query_place_id=ChIJq6BeDABbNDERcmy7a-SRjCY","Nhà hàng"
"Mây Coffee","4.4","43","2G9X+HM8, Đường Bờ Hồ","Hà Nội","Hạ Bằng, Hà Nội","VN","https://www.facebook.com/profile.php?id=100092040984540&mibextid=ZbWKwL","+84 347 730 631","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=M%C3%A2y%20Coffee&query_place_id=ChIJ247QHL1bNDERrf5PRUbvitg","Quán cà phê"
"Nhà Chung Cafe 2","4.9","28","Ngõ 52 Tân Xã","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 867 571 098","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20Chung%20Cafe%202&query_place_id=ChIJJ2hiRwBbNDERk4M-9irleAw","Quán cà phê"
"Bếp Văn Béo","5","2","2G9X+MR2","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20V%C4%83n%20B%C3%A9o&query_place_id=ChIJw4aJzS5bNDER3s02ZRHt5gw","Nhà hàng"
"Hanashi","4.5","148","59 đường vành đai Công Nghệ Cao","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 856 574 444","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Hanashi&query_place_id=ChIJgVpkxQdRNDERNOcrIj2xxqw","Quán cà phê"
"Nguyễn Nhung Cafe","4.7","7","2G9X+9GQ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Nguy%E1%BB%85n%20Nhung%20Cafe&query_place_id=ChIJKcf3RAhbNDERUG2UnnSBnSw","Quán cà phê"
"Nướng Ven Hồ Hà Quý","4.4","28","2G9X+382","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 944 931 919","Nhà hàng món nướng",,,,,,"https://www.google.com/maps/search/?api=1&query=N%C6%B0%E1%BB%9Bng%20Ven%20H%E1%BB%93%20H%C3%A0%20Qu%C3%BD&query_place_id=ChIJfTORIu9bNDER2IlSPvO-11g","Nhà hàng món nướng"
"Quán Cường Béo","4.8","4","2G8X+J5H","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 373 802 758","Quán ăn nhỏ",,,,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%B0%E1%BB%9Dng%20B%C3%A9o&query_place_id=ChIJZX9qKKJbNDERq-tJZdFy_2c","Quán ăn nhỏ"
"Thanh Khải Quán","5","1","2H64+W25","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 973 165 909","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Thanh%20Kh%E1%BA%A3i%20Qu%C3%A1n&query_place_id=ChIJBbKjylZbNDERBOZ-e80XBkg","Nhà hàng"
"Young Food&Drink","4.5","27","Số 68 đường Muc Uyên - Công Nghệ","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 335 990 484","Quán cà phê",,,,,,"https://www.google.com/maps/search/?api=1&query=Young%20Food%26Drink&query_place_id=ChIJ7bIg7_xbNDER0JiAJVkhpt0","Quán cà phê"
"Nhà Hàng G7","4.7","7","Ngõ 115 Đường Khoang","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 976 778 919","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G7&query_place_id=ChIJpYC0kdxbNDER9vMie5XH2aA","Nhà hàng"
"Gà mạnh hoạch Mai Ngọc","5","3","2G9X+FJ9","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 986 336 062","Nhà hàng gia đình",,,,,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20m%E1%BA%A1nh%20ho%E1%BA%A1ch%20Mai%20Ng%E1%BB%8Dc&query_place_id=ChIJjVinAwBbNDERq3W9RX8eSu0","Nhà hàng gia đình"
