"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","url","categoryName"
"Hồ Sen Quán","4.3","8","Linh sơn","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 966 430 969","Nhà hàng","Quán bia",,,"https://www.google.com/maps/search/?api=1&query=H%E1%BB%93%20Sen%20Qu%C3%A1n&query_place_id=ChIJPUzi-zxZNDERgd62xgIed_c","Nhà hàng"
"Cháo Dinh Dưỡng PAPA DASHI","5","2","số 86 đường Lục Quân","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 949 967 093","Nhà hàng gia đình",,,,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A1o%20Dinh%20D%C6%B0%E1%BB%A1ng%20PAPA%20DASHI&query_place_id=ChIJwSP6GgBZNDEROkcnvMloaQc","Nhà hàng gia đình"
"Phở Nam Nhất","3.8","480","QL21","Hà Nội","Hòa Lạc, Hà Nội","VN","http://phonamnhat.com/","+84 385 748 668","Nhà hàng phở",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Nam%20Nh%E1%BA%A5t&query_place_id=ChIJEWVJeuRbNDERZ67UxCpedgI","Nhà hàng phở"
"ChickSpot 22","4.9","154","67 QL21","Hà Nội","Hòa Lạc, Hà Nội","VN","https://order.chickspot22.com/","+84 362 698 586","Nhà hàng Việt Nam",,,,"https://www.google.com/maps/search/?api=1&query=ChickSpot%2022&query_place_id=ChIJq8yDd5NbNDERh26BP8ERiOs","Nhà hàng Việt Nam"
"Sun Food - Ăn vặt 24h","5","26","2GFC+8H7","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Sun%20Food%20-%20%C4%82n%20v%E1%BA%B7t%2024h&query_place_id=ChIJa0CLQgBbNDERglPO9MrQl9o","Nhà hàng"
"Gà Rán","5","2","297B QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 966 216 890","Quán gà rán mang đi",,,,"https://www.google.com/maps/search/?api=1&query=G%C3%A0%20R%C3%A1n&query_place_id=ChIJkSl7LoVZNDERB_FJ1o7dyLY","Quán gà rán mang đi"
"Bún riêu cô Hằng",,,"521 QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20ri%C3%AAu%20c%C3%B4%20H%E1%BA%B1ng&query_place_id=ChIJKyTlewBZNDERpQP_wDAQq9A","Quán ăn nhỏ"
"HaBi Streets Cuisine","4.9","19","Số 84 thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/HaBiStreetsCuisine?mibextid=LQQJ4d","+84 335 714 986","Nhà hàng","Nhà hàng châu Á",,,"https://www.google.com/maps/search/?api=1&query=HaBi%20Streets%20Cuisine&query_place_id=ChIJMe_URABbNDERASAIIIGoV34","Nhà hàng"
"Hiền Lương Quán","4.9","7","Km 10 đoàn kết","Hà Nội","Đoài Phương, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Hi%E1%BB%81n%20L%C6%B0%C6%A1ng%20Qu%C3%A1n&query_place_id=ChIJ8STw2BZZNDERt9KY7tAQpQE","Nhà hàng"
"Hà gia trang","5","2","Ngõ 54 đường Cổ Đông 2 thôn Phúc Lộc","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 967 091 039","Quán trà san sảnh",,,,"https://www.google.com/maps/search/?api=1&query=H%C3%A0%20gia%20trang&query_place_id=ChIJ9z3yB7BZNDERDtUPxnJMUX0","Quán trà san sảnh"
"Jolie Cafe","4.7","44","Số 431 thôn đoàn kết","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 987 581 694","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Jolie%20Cafe&query_place_id=ChIJaV3SX1JZNDERyqbYgr4DJ64","Quán cà phê"
"Cafe Anh Hìu","4.5","60",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 983 304 684","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20Anh%20H%C3%ACu&query_place_id=ChIJ2_mo_IZZNDERv0u3edGz0n8","Quán cà phê"
"Tú Bọ coffee - Vietlot - Xổ số","5","1","2GW4+HJR, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=T%C3%BA%20B%E1%BB%8D%20coffee%20-%20Vietlot%20-%20X%E1%BB%95%20s%E1%BB%91&query_place_id=ChIJdVS2PwBZNDERbaiNQ595Fkk","Quán cà phê"
"Bún đậu mẹt 1950 Lục quân","5","2","429 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 369 070 511","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20%C4%91%E1%BA%ADu%20m%E1%BA%B9t%201950%20L%E1%BB%A5c%20qu%C3%A2n&query_place_id=ChIJkX_o43pZNDERB0Y_qRxMPnc","Nhà hàng"
"Cà phê Vương","5","1","Ngã Tư Lục Quân","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 346 497 373","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=C%C3%A0%20ph%C3%AA%20V%C6%B0%C6%A1ng&query_place_id=ChIJaRla5ehfNDERjvrMZ4zOYo4","Quán cà phê"
"Nhà hàng 5 "" xao""","5","3","2GQ8+458","Hà Nội","Đoài Phương, Hà Nội","VN",,"","Nhà hàng châu Á",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%205%20%22%20xao%22&query_place_id=ChIJA_s0CABbNDERD3JEH5_t6So","Nhà hàng châu Á"
"A Hiếu Tea & Coffee","5","1","792 Thôn 6","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 974 505 992","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=A%20Hi%E1%BA%BFu%20Tea%20%26%20Coffee&query_place_id=ChIJiT-zSABfNDERVooNsWw4qI0","Quán cà phê"
"Moose Plus Cafe","5","3","Số nhà 693, khu 73,thôn đoàn kết","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 915 305 538","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Moose%20Plus%20Cafe&query_place_id=ChIJWSEnPudbNDERQETUkt0NiAs","Quán cà phê"
"Cafe Tùng","5","2","2GW4+6HV","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20T%C3%B9ng&query_place_id=ChIJv7cyfABZNDER1dvZRr_Wk7Q","Quán cà phê"
"Cà Phê Hương Thảo","5","2","2GW4+6HV","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 987 305 757","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=C%C3%A0%20Ph%C3%AA%20H%C6%B0%C6%A1ng%20Th%E1%BA%A3o&query_place_id=ChIJgVw-t_FZNDERgh51K9qvvKo","Quán cà phê"
"Cafe trà sữa Hồng Nhung","4.5","6","2GW3+FWR Ngã Tư Lục Quân","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 387 132 974","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20tr%C3%A0%20s%E1%BB%AFa%20H%E1%BB%93ng%20Nhung&query_place_id=ChIJn4MOuuxZNDERCr4fBPqNNWM","Quán cà phê"
"Cafe Nghệ Sỹ","5","2",,"Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 338 335 816","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20Ngh%E1%BB%87%20S%E1%BB%B9&query_place_id=ChIJy9pPTlFZNDERvN_zkqqt_W0","Quán cà phê"
"Thịt Chó-Thịt Mèo Gia Hưng",,,"Thôn Đoàn Kết","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 357 681 998","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Th%E1%BB%8Bt%20Ch%C3%B3-Th%E1%BB%8Bt%20M%C3%A8o%20Gia%20H%C6%B0ng&query_place_id=ChIJTSEMVQBZNDERZWIF_s6VD2g","Nhà hàng"
"Nhà Hàng Thế giới Bò","3","8","Asean Resort/21a Chợ Hòa Lạc","Hà Nội","Thạch Thất, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Th%E1%BA%BF%20gi%E1%BB%9Bi%20B%C3%B2&query_place_id=ChIJU2Wr7BxbNDERZzWtsmCfemE","Nhà hàng"
"Hoa Lư Quán","3","4","2GR6+R3X, QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Hoa%20L%C6%B0%20Qu%C3%A1n&query_place_id=ChIJZcy30fRZNDERX8ICmjDWgAc","Nhà hàng"
"1995 Coffee & Tea","4.4","5","2GJ8+JJQ, QL21A","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 968 681 602","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=1995%20Coffee%20%26%20Tea&query_place_id=ChIJUcPJHe9bNDER6xeE5zS5aIA","Quán cà phê"
"Nhất Thuỷ Quán","3.7","21","2GV5+7Q4","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 982 760 976","Quán ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=Nh%E1%BA%A5t%20Thu%E1%BB%B7%20Qu%C3%A1n&query_place_id=ChIJb2cIKdlZNDERWiJjmK6D604","Quán ăn nhỏ"
"Quán Lẩu Đuôi Bò Hiếu Bùi","3.3","3","2GJ8+PJ2","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 936 861 668","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20L%E1%BA%A9u%20%C4%90u%C3%B4i%20B%C3%B2%20Hi%E1%BA%BFu%20B%C3%B9i&query_place_id=ChIJbwGH7RBbNDERtN8Z5ZVTga4","Nhà hàng"
"Nhà hàng vịt nướng Phú Gia",,,"887 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 973 131 112","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20v%E1%BB%8Bt%20n%C6%B0%E1%BB%9Bng%20Ph%C3%BA%20Gia&query_place_id=ChIJG11Na8lZNDER5eS7_T0ki3k","Nhà hàng"
"Phở Vũ Trâu Tươi Cơm Rang Bún Bò Huế",,,"409 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 865 225 336","Cửa hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20V%C5%A9%20Tr%C3%A2u%20T%C6%B0%C6%A1i%20C%C6%A1m%20Rang%20B%C3%BAn%20B%C3%B2%20Hu%E1%BA%BF&query_place_id=ChIJmS57KABZNDERJm5ava5fDBY","Cửa hàng ăn nhanh"
"Nhà Hàng Thùy Dung",,,,"Hà Nội","Đoài Phương, Hà Nội","VN",,"","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Th%C3%B9y%20Dung&query_place_id=ChIJ6cAhylZZNDERky2tFMODo1w","Nhà hàng"
"Abc co domg",,,"2GW4+6HV","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Cửa hàng kem",,,,"https://www.google.com/maps/search/?api=1&query=Abc%20co%20domg&query_place_id=ChIJTXvpMwBZNDERB5k2udGRtuU","Cửa hàng kem"
"PHỞ BÒ CƠM RANG VŨ THẢO",,,"QL21/thôn Đoàn Kết","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 977 403 296","Khu ăn uống",,,,"https://www.google.com/maps/search/?api=1&query=PH%E1%BB%9E%20B%C3%92%20C%C6%A0M%20RANG%20V%C5%A8%20TH%E1%BA%A2O&query_place_id=ChIJzbcc26JZNDERrF9EkOaoHeE","Khu ăn uống"
"Quán bia Trường Mai",,,"Thôn Đoàn Kết","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Khu ăn uống",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20bia%20Tr%C6%B0%E1%BB%9Dng%20Mai&query_place_id=ChIJ6cQHeQBZNDERisbvX75IR4A","Khu ăn uống"
"Ăn Đêm Mai Dũng","5","10","457 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 367 869 795","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=%C4%82n%20%C4%90%C3%AAm%20Mai%20D%C5%A9ng&query_place_id=ChIJ9SpkDgBZNDERQb-eKJ_lmCw","Nhà hàng ăn nhanh"
"Vạn Thanh Cafe","5","7","2GP4+5C","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 906 570 183","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=V%E1%BA%A1n%20Thanh%20Cafe&query_place_id=ChIJdcXxHq1bNDERcom-d4vb4To","Quán cà phê"
"Bay Cafe & Restaurant Dê Núi- Cơm Niêu","4.8","167","QL21","Hà Nội","Yên Xuân, Hà Nội","VN",,"+84 866 889 199","Quán cà phê","Nhà hàng",,,"https://www.google.com/maps/search/?api=1&query=Bay%20Cafe%20%26%20Restaurant%20D%C3%AA%20N%C3%BAi-%20C%C6%A1m%20Ni%C3%AAu&query_place_id=ChIJrYN5DQBbNDERsY8cb9cKSJs","Quán cà phê"
"Cafe Xưa","4.2","147","Đồng Chằm","Hà Nội","Quốc Oai, Hà Nội","VN",,"+84 912 308 968","Quán cà phê",,,,"https://www.google.com/maps/search/?api=1&query=Cafe%20X%C6%B0a&query_place_id=ChIJleqIeHdbNDERt0kgA7Rr4-4","Quán cà phê"
"Xóm Thái, cs Hòa Lạc - Ẩm Thực Thái","4.6","23","Số 48 Thôn 3, xã","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 971 004 296","Nhà hàng Thái Lan",,,,"https://www.google.com/maps/search/?api=1&query=X%C3%B3m%20Th%C3%A1i%2C%20cs%20H%C3%B2a%20L%E1%BA%A1c%20-%20%E1%BA%A8m%20Th%E1%BB%B1c%20Th%C3%A1i&query_place_id=ChIJUxRpx6NbNDERaJB1C9yMp70","Nhà hàng Thái Lan"
"Nhà Hàng Hải Sản Hải Phương","3.4","12","2GX3+FWG","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 989 148 686","Nhà hàng hải sản",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%E1%BA%A3i%20S%E1%BA%A3n%20H%E1%BA%A3i%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJTy2d5CpZNDERZFPGKVADs0I","Nhà hàng hải sản"
"Nhà Hàng Huyền Trang","4.7","6","3G32+2V5 Đối Diện Tập Đoàn Y Dược Bảo Long, QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 972 275 184","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Huy%E1%BB%81n%20Trang&query_place_id=ChIJWxmOOT5ZNDERhXTRAqZjFXM","Nhà hàng món lẩu"
"Phở Tuấn Thành",,,"2GW4+W89, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng châu Á",,,,"https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Tu%E1%BA%A5n%20Th%C3%A0nh&query_place_id=ChIJMc2QtoBZNDER7WZO0wbsCfw","Nhà hàng châu Á"
"Cơm Xe Tải Cây Mít","4.6","16","3G32+W6X, QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Xe%20T%E1%BA%A3i%20C%C3%A2y%20M%C3%ADt&query_place_id=ChIJVYTIRpFZNDERsryU2XHG5u0","Nhà hàng cơm"
"Nướng Than Hoa Fuca","5","8","2G29+PVF","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng món nướng",,,,"https://www.google.com/maps/search/?api=1&query=N%C6%B0%E1%BB%9Bng%20Than%20Hoa%20Fuca&query_place_id=ChIJD1cjYQBbNDERtzxN8bNKurs","Nhà hàng món nướng"
"Hoà Lạc Viên","4","109","2G59+G2V, Quốc lộ 21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 24 3368 7396","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Ho%C3%A0%20L%E1%BA%A1c%20Vi%C3%AAn&query_place_id=ChIJaQCONZFbNDERzLchgfrwEHQ","Nhà hàng"
"Chè Ngon Jolly","4.6","36",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 869 958 939","Nhà hàng món chè bánh lọt","Cửa hàng kem",,,"https://www.google.com/maps/search/?api=1&query=Ch%C3%A8%20Ngon%20Jolly&query_place_id=ChIJn8yfJJJbNDERjqdNY5ZWWHg","Nhà hàng món chè bánh lọt"
"YAKI Buffet","4.5","22","147 Cụm 3","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/share/18q1fwwpxZ/?mibextid=wwXIfr","+84 382 683 890","Nhà hàng tiệc đứng",,,,"https://www.google.com/maps/search/?api=1&query=YAKI%20Buffet&query_place_id=ChIJRStLRwBbNDERDzXZFIpV_ys","Nhà hàng tiệc đứng"
"Deuseyo","4.3","50","Số 88 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 822 446 936","Nhà hàng Hàn Quốc",,,,"https://www.google.com/maps/search/?api=1&query=Deuseyo&query_place_id=ChIJi1eENgBbNDER9XP7e61RyWU","Nhà hàng Hàn Quốc"
"Lẩu Chất","4.3","6",,"Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.facebook.com/share/1JyaVANvXW/?mibextid=wwXIfr","+84 981 218 123","Nhà hàng","Nhà hàng gia đình",,,"https://www.google.com/maps/search/?api=1&query=L%E1%BA%A9u%20Ch%E1%BA%A5t&query_place_id=ChIJU7LuTwBbNDERcSQtXMvbik8","Nhà hàng"
"Vua Gà Quang Thọ","4","286","QL21","Hà Nội","Hòa Lạc, Hà Nội","VN","https://www.viet-biz.com/vua-g%C3%A0-quang-th%E1%BB%8D-097-244-79-62","+84 972 447 962","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Vua%20G%C3%A0%20Quang%20Th%E1%BB%8D&query_place_id=ChIJwQL7kHNFNDEREPyKgxZBp6w","Nhà hàng thịt gà"
"Choén","5","1","2G59+26W","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 336 550 836","Nhà hàng ăn nhanh",,,,"https://www.google.com/maps/search/?api=1&query=Cho%C3%A9n&query_place_id=ChIJrdtOBwBbNDERiqAplycVB4g","Nhà hàng ăn nhanh"
"Bún Chả Thu Hà","5","1","2G3C+27M, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 898 243 680","Nhà hàng phục vụ phần ăn nhỏ",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20Ch%E1%BA%A3%20Thu%20H%C3%A0&query_place_id=ChIJ9RPqCABbNDER7Uqfqj-1VTY","Nhà hàng phục vụ phần ăn nhỏ"
"Cơm Thu Thủy","3.9","61",,"Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 989 021 687","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Thu%20Th%E1%BB%A7y&query_place_id=ChIJ53IFtWRbNDERMcEuZ2CEqUQ","Nhà hàng cơm"
"Nhà Hàng Hồ Câu Đỗ Hiệp","4","67","2G59+3QF, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 967 430 066","Nhà hàng món cá",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%E1%BB%93%20C%C3%A2u%20%C4%90%E1%BB%97%20Hi%E1%BB%87p&query_place_id=ChIJZ2rtVXFFNDERDanPMQAVbkk","Nhà hàng món cá"
"Nhà Hàng Gà Ri Hưng Thịnh","4","226","QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 985 130 972","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20H%C6%B0ng%20Th%E1%BB%8Bnh&query_place_id=ChIJKaEczJlbNDERVmOGRAXzVEQ","Nhà hàng thịt gà"
"Cơm Thố Anh Nguyễn Hoà Lạc","2.4","49","2G49+J7M, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN","https://comthoanhnguyen.com.vn/","+84 987 469 933","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Th%E1%BB%91%20Anh%20Nguy%E1%BB%85n%20Ho%C3%A0%20L%E1%BA%A1c&query_place_id=ChIJqy8rBx9bNDERlFLhCaQJXNw","Nhà hàng cơm"
"Cơm Thố Bách Khoa","3.5","24","2G49+6C6","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A1m%20Th%E1%BB%91%20B%C3%A1ch%20Khoa&query_place_id=ChIJhzsIQABbNDERJ_muMVWCfNY","Nhà hàng cơm"
"Nhà Hàng Gà Ri Thanh Tuấn","4","9","QL21","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 977 555 072","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Thanh%20Tu%E1%BA%A5n&query_place_id=ChIJ9Zw5WgBbNDERoMdBJYjhFFw","Nhà hàng thịt gà"
"Ốc Bống ( Địa chỉ duy nhất )","4","17","Đ. 21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng bán đồ ăn mang về",,,,"https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20B%E1%BB%91ng%20(%20%C4%90%E1%BB%8Ba%20ch%E1%BB%89%20duy%20nh%E1%BA%A5t%20)&query_place_id=ChIJqQNmd1pbNDERyrzTy4YKJyI","Nhà hàng bán đồ ăn mang về"
"Quán cơm sạch cô út miền tây",,,"3 Phố Thạch","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng cơm",,,,"https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20c%C6%A1m%20s%E1%BA%A1ch%20c%C3%B4%20%C3%BAt%20mi%E1%BB%81n%20t%C3%A2y&query_place_id=ChIJIaOfAgBbNDERabLmpwFVBIY","Nhà hàng cơm"
"Mì Cay SEOUL Thạch Hòa","3.3","29","160 Thôn 3","Hà Nội","Hòa Lạc, Hà Nội","VN","https://micayseoul.com/","+84 961 579 086","Nhà hàng Hàn Quốc",,,,"https://www.google.com/maps/search/?api=1&query=M%C3%AC%20Cay%20SEOUL%20Th%E1%BA%A1ch%20H%C3%B2a&query_place_id=ChIJGVWRTc9bNDERFEaO5cmd-Ls","Nhà hàng Hàn Quốc"
"CƠM SẠCH 17","4.9","126","2G39+HVC","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 822 783 123","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=C%C6%A0M%20S%E1%BA%A0CH%2017&query_place_id=ChIJ-UsoJwBbNDERk-mzYh2_GEE","Nhà hàng"
