Place ID,Tên quán,Tên món ăn,Giá (VNĐ),Đơn vị,Mô tả
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Gà ri nướng than hoa,260000,con,Gà ri tẩm ướp gia vị Tây Bắc nướng than hoa thơm lừng
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Ốc nhồi thịt hấp lá gừng,120000,đĩa,Ốc đồng nhồi thịt xay thơm mùi lá gừng tươi chấm nước mắm gừng
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Đậu phụ chiên hành mỡ,35000,đĩa,Đậu hũ non chiên giòn tẩm mỡ hành béo ngậy
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Trâu gác bếp Tây Bắc Sơn La,150000,đĩa,Thịt trâu gác bếp xé nhỏ vắt chanh chấm chẳm chéo
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Khoai môn lệ phố nhân đậu xanh dừa,45000,đĩa,Nhân đậu xanh dừa ngọt ngậy ngọt ngào
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,Gà ri đắp đất nướng cái bang,280000,con,Gà ri bọc lá sen đắp đất sét nướng giữ nguyên độ ngọt thơm tự nhiên
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,Gà ri bó xôi chiên giòn,290000,con,Gà ri hấp chín bọc ngoài bằng lớp xôi nếp chiên phồng giòn tan
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,Gà ri hấp lá chanh da giòn,240000,con,Gà ta thả đồi dai ngọt da vàng óng ả
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,Gà ri chiên mắm xóc tỏi ớt,140000,đĩa,Thịt gà ri chiên giòn xóc muối ớt cay tê đậm đà
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,Lẩu gà ri hầm sả gừng tươi,380000,nồi,Nước lẩu ngọt lịm thơm nồng vị sả gừng tươi hầm gà ri đồi
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,Xôi trắng mỡ hành phi,25000,đĩa,Xôi nếp nương đồ dẻo thơm rưới mỡ hành
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,Lẩu riêu cua sườn sụn đặc sản 379,399000,nồi,Lẩu riêu cua đồng nguyên chất siêu nhiều gạch đậm vị
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,Gà ri hấp hành gừng bản quán,240000,con,Gà ri thả đồi ngọt dai đậm vị hành gừng tươi
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,Trâu tươi xào măng trúc Yên Tử,140000,đĩa,Thịt trâu tươi mềm ngọt xào măng trúc giòn sần sật
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,Dê tái chanh tương gừng Cát Bà,160000,đĩa,Thịt dê hấp thái mỏng cuộn lá mơ chấm tương gừng đặc sản
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,Cá lăng om chuối đậu đất,220000,nồi đất,"Cá lăng tươi om cùng chuối xanh, đậu phụ nướng thơm mùi nghệ, mắm tôm"
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,Phở chín bò ta,30000,bát,Nước dùng phở bò ninh xương ống ngọt lịm kèm thịt chín thái mỏng
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,Phở tái chần,37000,bát,Phở bò với thịt bò tươi chần tái mềm ngọt
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,Phở nạm gầu giòn,38000,bát,Bánh phở mềm cùng nạm bò và gầu bò giòn sần sật
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,Phở tái lăn đặc biệt,45000,bát,Phở bò xào tái lăn thơm mùi tỏi phi
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,Trứng gà trần,13000,quả,Trứng trần nước phở béo ngậy
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,Quẩy giòn,2000,chiếc,Quẩy giòn ăn kèm nước phở
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Thịt dê ré nướng sả ớt,220000,đĩa,Dê núi ré thái mỏng nướng riềng sả
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Dê tái chanh thơm mát,180000,đĩa,"Thịt dê hấp tái trộn thính, vừng, nước cốt chanh thơm mát"
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Lẩu dê nhúng mẻ,399000,nồi,Nước lẩu mẻ chua dịu nhúng thịt dê núi tươi ngon
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Tiết canh dê núi,15000,bát,Tiết canh dê núi sạch sành sanh chuẩn vị
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Gà đồi hấp lá chanh,230000,con,Gà đồi Yên Bình hấp lá chanh ngọt dai thơm thịt
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Lẩu gà đồi nấm tươi,350000,nồi,Lẩu gà đồi kèm rau nấm tươi mát
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Cá lăng nướng riềng mẻ,180000,đĩa,Cá lăng nướng thơm lừng đậm đà
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Cháo chim câu hạt sen,130000,tô,Cháo chim câu bồi bổ sức khỏe cùng hạt sen bùi béo
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Cơm lam nướng ống tre,15000,ống,Cơm nếp nướng thơm mùi tre nứa chấm muối vừng
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,Khoai tây chiên bơ tỏi,30000,đĩa,Khai vị khoai tây chiên bơ tỏi
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,Gà ri luộc nước cốt dừa,250000,con,Gà ri hấp nước cốt dừa thơm béo da giòn sần sật
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,Gà ri chiên nước mắm tỏi phi,140000,đĩa,Gà ri chiên vàng giòn đảo sốt nước mắm ngon tỏi phi thơm nồng
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,Lẩu gà ri chua cay kiểu Thái,380000,nồi,Nồi lẩu gà nước dùng tomyum chua cay kích thích vị giác
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,Lòng mề gà xào mướp giá hành hoa,80000,đĩa,Lòng mề gà ri giòn ngon xào mướp hương thơm phức
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,Canh gà lá giang miền Trung,120000,tô,Canh gà lá giang chua dịu giải nhiệt mùa hè
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,Gà ri hấp lá chanh (Cả con),230000,con,Gà ri đồi nuôi thả tự nhiên dai ngọt da vàng giòn
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,Gà ri nướng mật ong (Cả con),270000,con,Gà ri nướng mật ong thơm phức vàng óng
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,Gà rang muối tỏi,120000,đĩa,Gà ta chặt miếng rang muối đậm đà sần sật
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,Lẩu gà ri thuốc bắc,350000,nồi,Nồi lẩu gà ri thuốc bắc bổ dưỡng kèm rau nấm
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,Xôi chim câu hành phi,80000,đĩa,Xôi nếp dẻo thơm ăn kèm thịt chim câu băm nhỏ
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,Lòng mề gà xào mướp giá,75000,đĩa,Lòng mề gà ri giòn xào mướp hương thơm phức
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,Phở chín bò ta,40000,bát,Nước dùng phở bò ninh xương ống ngọt lịm kèm thịt chín thái mỏng
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,Phở tái chần,33000,bát,Phở bò với thịt bò tươi chần tái mềm ngọt
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,Phở nạm gầu giòn,38000,bát,Bánh phở mềm cùng nạm bò và gầu bò giòn sần sật
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,Phở tái lăn đặc biệt,45000,bát,Phở bò xào tái lăn thơm mùi tỏi phi
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,Trứng gà trần,10000,quả,Trứng trần nước phở béo ngậy
ChIJsZo9-IdcNDERY0zjQpEdhc0,Phở Núi,Quẩy giòn,2000,chiếc,Quẩy giòn ăn kèm nước phở
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,Cá kho tộ miền Tây đậm vị,85000,tộ,Cá trắm đen kho tộ sánh quyện nước hàng dừa
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,Thịt ba chỉ rang cháy cạnh,70000,đĩa,Thịt ba chỉ ba chỉ giòn rưới mỡ hành
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,Sườn non xào chua ngọt,78000,đĩa,Sườn non xào cùng dứa và ớt chuông sốt chua cay
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,Rau muống luộc dầm sấu / xào tỏi,30000,đĩa,Rau muống tươi xanh luộc chấm nước mắm chanh ớt
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,Canh riêu cua đồng cà pháo,47000,bát,Canh cua đồng mát lạnh ăn kèm cà pháo giòn tan
ChIJqUUTkzpbNDERi8K_NaI6aEo,Nhà Hàng Nguyễn Gia,Cơm trắng gạo tám thơm,15000,niêu,Niêu cơm gạo tám dẻo thơm
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Cà phê đen đá pha phin,22000,ly,Cà phê đen truyền thống đậm đà
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Cà phê sữa đá,22000,ly,Cà phê sữa pha phin béo ngậy
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Bạc xỉu cốt dừa,30000,ly,Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Trà đào cam sả,35000,ly,Trà đào thơm mát kết hợp lát đào cam tươi sả thơm
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Trà sữa trân châu truyền thống,37000,ly,Trà sữa đậm trà kèm trân châu đen dai giòn
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Sinh tố bơ sáp,30000,ly,Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo
ChIJ9TsbIK5bNDER3O46ZCuzk_E,Twitter Beans Coffee Hòa Lạc,Nước ép cam nguyên chất,30000,ly,Ép cam sành tự nhiên nhiều vitamin C
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,Gà ri hấp lá chanh (Cả con),210000,con,Gà ri đồi nuôi thả tự nhiên dai ngọt da vàng giòn
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,Gà ri nướng mật ong (Cả con),240000,con,Gà ri nướng mật ong thơm phức vàng óng
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,Gà rang muối tỏi,140000,đĩa,Gà ta chặt miếng rang muối đậm đà sần sật
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,Lẩu gà ri thuốc bắc,340000,nồi,Nồi lẩu gà ri thuốc bắc bổ dưỡng kèm rau nấm
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,Xôi chim câu hành phi,78000,đĩa,Xôi nếp dẻo thơm ăn kèm thịt chim câu băm nhỏ
ChIJKaEczJlbNDERVmOGRAXzVEQ,Nhà Hàng Gà Ri Hưng Thịnh,Lòng mề gà xào mướp giá,68000,đĩa,Lòng mề gà ri giòn xào mướp hương thơm phức
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,Cá kho tộ miền Tây đậm vị,83000,tộ,Cá trắm đen kho tộ sánh quyện nước hàng dừa
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,Thịt ba chỉ rang cháy cạnh,77000,đĩa,Thịt ba chỉ ba chỉ giòn rưới mỡ hành
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,Sườn non xào chua ngọt,75000,đĩa,Sườn non xào cùng dứa và ớt chuông sốt chua cay
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,Rau muống luộc dầm sấu / xào tỏi,27000,đĩa,Rau muống tươi xanh luộc chấm nước mắm chanh ớt
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,Canh riêu cua đồng cà pháo,50000,bát,Canh cua đồng mát lạnh ăn kèm cà pháo giòn tan
ChIJpYedXFtbNDER2zyVw2UmvdU,Hương Việt Quán Hoà Lạc,Cơm trắng gạo tám thơm,15000,niêu,Niêu cơm gạo tám dẻo thơm
ChIJ7UamdEZbNDERfmhGoEguBZ4,Mixue Tân Xã,Kem tươi ốc quế sữa dừa / vani Mixue,10000,chiếc,Kem tươi thơm ngon ngậy béo ốc quế giòn tan
ChIJ7UamdEZbNDERfmhGoEguBZ4,Mixue Tân Xã,Trà sữa ba anh em thạch pudding trân châu,27000,ly,Trà sữa đậm vị kèm full topping dồi dào
ChIJ7UamdEZbNDERfmhGoEguBZ4,Mixue Tân Xã,Dương chi cam lộ xoài bưởi trân châu,37000,ly,"Sinh tố xoài, bưởi hồng cùng thạch dừa thạch đào thơm ngon mát lạnh"
ChIJ7UamdEZbNDERfmhGoEguBZ4,Mixue Tân Xã,Trà đào tứ kỳ xuân hạt đào miếng,28000,ly,Trà ô long thanh vị kết hợp thạch đào giòn ngọt
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Cà phê đen đá pha phin,22000,ly,Cà phê đen truyền thống đậm đà
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Cà phê sữa đá,28000,ly,Cà phê sữa pha phin béo ngậy
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Bạc xỉu cốt dừa,27000,ly,Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Trà đào cam sả,37000,ly,Trà đào thơm mát kết hợp lát đào cam tươi sả thơm
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Trà sữa trân châu truyền thống,37000,ly,Trà sữa đậm trà kèm trân châu đen dai giòn
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Sinh tố bơ sáp,35000,ly,Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo
ChIJY-Qe7gxbNDERYsbo4AU5ZwY,Cafe Hòa Lạc,Nước ép cam nguyên chất,27000,ly,Ép cam sành tự nhiên nhiều vitamin C
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,Thịt trâu xào lá lốt,140000,đĩa,Thịt trâu tươi mềm ngọt xào lá lốt thơm lừng
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,Thịt trâu nhúng mẻ chua cay,170000,đĩa,Thịt trâu nhúng nước dùng mẻ chua thanh nhẹ
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,Dê tái chanh chấm tương gừng,160000,đĩa,Thịt dê núi hấp tái trộn vừng sả lá chanh
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,Dê né bản gang,170000,đĩa,Dê xào nóng hổi trên bản gang kèm đậu bắp
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,Lẩu dê núi nhúng mẻ,419000,nồi,Nồi lẩu dê núi ré thơm ngon kèm rau nhúng đặc sản
ChIJrYN5DQBbNDERsY8cb9cKSJs,Bay Cafe & Restaurant Dê Núi- Cơm Niêu,Cơm cháy sốt dê,70000,đĩa,Cơm cháy giòn tan rưới nước sốt dê đậm vị
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,Phở chín bò ta,37000,bát,Nước dùng phở bò ninh xương ống ngọt lịm kèm thịt chín thái mỏng
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,Phở tái chần,37000,bát,Phở bò với thịt bò tươi chần tái mềm ngọt
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,Phở nạm gầu giòn,38000,bát,Bánh phở mềm cùng nạm bò và gầu bò giòn sần sật
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,Phở tái lăn đặc biệt,47000,bát,Phở bò xào tái lăn thơm mùi tỏi phi
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,Trứng gà trần,7000,quả,Trứng trần nước phở béo ngậy
ChIJfb98R7VbNDERRaXmEAYSbdM,Phở Mạnh Cường,Quẩy giòn,8000,chiếc,Quẩy giòn ăn kèm nước phở
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,Cơm rang dưa bò,47000,đĩa,Cơm rang hạt giòn tơi xào cùng cải dưa chua và thịt bò tươi mềm
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,Cơm rang thập cẩm giòn,33000,đĩa,Cơm rang lạp xưởng ngô ngọt đậu hà lan rưới trứng vàng
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,Cơm thố xá xíu nóng hổi,45000,thố,"Cơm nấu niêu thố đất tạo lớp cháy giòn nhẹ, phủ thịt xá xíu đậm sốt"
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,Suất cơm bình dân tự chọn (3 món mặn + rau),27000,suất,Cơm suất bình dân đầy đặn sạch sẽ cho sinh viên và người đi làm
ChIJj13NpapbNDER4-6jOFaKPzA,Quán Bà Thủy Cơm Xe Tải,Cơm tấm sườn bì chả Sài Gòn,38000,đĩa,Cơm tấm ăn kèm sườn nướng mặn ngọt chả trứng bì heo thính và nước mắm chua cay
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,Cá kho tộ miền Tây đậm vị,80000,tộ,Cá trắm đen kho tộ sánh quyện nước hàng dừa
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,Thịt ba chỉ rang cháy cạnh,80000,đĩa,Thịt ba chỉ ba chỉ giòn rưới mỡ hành
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,Sườn non xào chua ngọt,82000,đĩa,Sườn non xào cùng dứa và ớt chuông sốt chua cay
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,Rau muống luộc dầm sấu / xào tỏi,33000,đĩa,Rau muống tươi xanh luộc chấm nước mắm chanh ớt
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,Canh riêu cua đồng cà pháo,43000,bát,Canh cua đồng mát lạnh ăn kèm cà pháo giòn tan
ChIJq8yDd5NbNDERh26BP8ERiOs,ChickSpot 22,Cơm trắng gạo tám thơm,12000,niêu,Niêu cơm gạo tám dẻo thơm
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Cà phê đen đá pha phin,19000,ly,Cà phê đen truyền thống đậm đà
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Cà phê sữa đá,28000,ly,Cà phê sữa pha phin béo ngậy
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Bạc xỉu cốt dừa,27000,ly,Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Trà đào cam sả,37000,ly,Trà đào thơm mát kết hợp lát đào cam tươi sả thơm
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Trà sữa trân châu truyền thống,30000,ly,Trà sữa đậm trà kèm trân châu đen dai giòn
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Sinh tố bơ sáp,35000,ly,Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo
ChIJgVpkxQdRNDERNOcrIj2xxqw,Hanashi,Nước ép cam nguyên chất,30000,ly,Ép cam sành tự nhiên nhiều vitamin C
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Cà phê đen đá pha phin,19000,ly,Cà phê đen truyền thống đậm đà
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Cà phê sữa đá,22000,ly,Cà phê sữa pha phin béo ngậy
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Bạc xỉu cốt dừa,33000,ly,Nhiều sữa béo ngậy vị dừa hòa quyện chút cà phê
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Trà đào cam sả,35000,ly,Trà đào thơm mát kết hợp lát đào cam tươi sả thơm
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Trà sữa trân châu truyền thống,30000,ly,Trà sữa đậm trà kèm trân châu đen dai giòn
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Sinh tố bơ sáp,40000,ly,Sinh tố bơ sáp tươi ngon xay sữa đặc ngậy béo
ChIJleqIeHdbNDERt0kgA7Rr4-4,Cafe Xưa,Nước ép cam nguyên chất,30000,ly,Ép cam sành tự nhiên nhiều vitamin C
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,"Đĩa hoa quả thập cẩm lớn (Dưa hấu, ổi, xoài, nho)",140000,đĩa,Hoa quả tươi ngon cắt lát đẹp mắt
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Khô mực nướng cồn,160000,con,Mực khô Vân Đồn nướng cồn xé tay
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Thịt bò khô xé sợi vắt chanh,80000,đĩa,Bò khô sợi cay cay ngọt ngọt
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Khoai tây chiên lắc phô mai,45000,đĩa,Khoai tây chiên giòn tan phủ bột phô mai
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Hạt hướng dương sạch,20000,đĩa,Hạt hướng dương rang thơm
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Bia Heineken lon,28000,lon,Bia ngoại ướp lạnh sẵn
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Bia Hà Nội lon,18000,lon,Bia nội truyền thống
ChIJqQf_CgpbNDERFhQFQiFQxro,Karaoke Hoa Hồng Massage,Nước ngọt Coca-Cola / Sting,18000,lon,Nước ngọt các loại phục vụ lạnh
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,Thịt trâu xào lá lốt,120000,đĩa,Thịt trâu tươi mềm ngọt xào lá lốt thơm lừng
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,Thịt trâu nhúng mẻ chua cay,170000,đĩa,Thịt trâu nhúng nước dùng mẻ chua thanh nhẹ
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,Dê tái chanh chấm tương gừng,160000,đĩa,Thịt dê núi hấp tái trộn vừng sả lá chanh
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,Dê né bản gang,150000,đĩa,Dê xào nóng hổi trên bản gang kèm đậu bắp
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,Lẩu dê núi nhúng mẻ,389000,nồi,Nồi lẩu dê núi ré thơm ngon kèm rau nhúng đặc sản
ChIJQSH98H5dNDERImRr5FyLhXo,Quán Trâu Tám Hương,Cơm cháy sốt dê,72000,đĩa,Cơm cháy giòn tan rưới nước sốt dê đậm vị
